School,Major,Course_Code,Course_Name,Course_Description,Prereq
NUS,Data Science and Analytics,DSA3101,Data Science in Practice,"This course is designed to be a continuation of DSA1101 Introduction to Data Science. It focuses on data science methodology and the ability to apply such methodology to practical applications. Real-world problems will be provided by both industrial and academic partners in domains such as transportation, consulting, finance, pharmaceutics, life sciences and physics.","{'and': ['DSA2101:D', 'ST2132:D']}"
NUS,Data Science and Analytics,DSA3102,Essential Data Analytics Tools: Convex Optimisation,Convex optimisation is an indispensable technique in dealing with high-dimensional structured problems in data science. The course covers modelling examples; basic concepts for convex functions and sub-gradients; gradient and sub-gradient methods; accelerated proximal gradient methods; stochastic block coordinate descent methods; Lagrangian duals; splitting algorithms and implementations.,"{'and': ['CS1010%:D', {'or': ['MA1101R:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D', 'MA2001:D']}, {'or': ['MA1505:D', 'MA1511:D', 'MA2104:D', 'MA2311:D']}]}"
NUS,Data Science and Analytics,ST3131,Regression Analysis,"This course focuses on data analysis using multiple regression models. Topics include simple linear regression, multiple regression, model building and regression diagnostics. One and two factor analysis of variance, analysis of covariance, linear model as special case of generalized linear model. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Data Science and Analytics,QF4211,Digital Currencies,"This course introduces digital currencies, one of the most demanded digital technologies. We present practically relevant methods and technologies from data science, mathematical finance, neuroeconomics and time series and network analysis, and elaborate with examples in cryptocurrencies market analysis, crypto-assets and derivatives, stable coins and blockchain-based solutions for the digital economy (e.g., P2P lending). The use of GitHub and network techniques will be taught. Empirical research and code implementations will be demonstrated. Guest lecturers with rich working and research experience in the area will be invited to share their expertise in the course.","{'or': ['QF2104:D', 'DSA2102:D']}"
NUS,Data Science and Analytics,QF4212,Data Science in FinTech,"This course introduces several state-of-the-art data science methods and approaches in statistical modeling, machine learning and deep learning with data-driven applications in finance and FinTech such as derivative pricing, portfolio optimisation, robo-advising and risk management. Real-data analysis and code implementations will be demonstrated. Guest lecturers with rich working and research experience from academia and industry will be invited to share their latest research findings or their experience in and outlooks on data science techniques and implementations in the modern financial industry.","{'or': ['QF2104:D', 'DSA2102:D']}"
NUS,Data Science and Analytics,DSA4288,Honours Project in Data Science and Analytics,"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['ST2131:D', 'MA2116:D', 'MA2216:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}"
NUS,Data Science and Analytics,DSA4288M,Honours Project in DSA (Operations Research),"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['MA2216:D', 'ST2131:D', 'MA2116:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}"
NUS,Data Science and Analytics,DSA4288S,Honours Project in DSA (Statistical Methodology),"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['MA2216:D', 'ST2131:D', 'MA2116:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}"
NUS,Data Science and Analytics,CS1010S,Programming Methodology,"This course introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing and is equivalent to CS1010 and CS1010E Programming Methodology. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This course is appropriate for FoS students.",
NUS,Data Science and Analytics,MA3252,Linear and Network Optimisation,"The objective of this course is to work on optimization problems which can be formulated as linear and network optimization problems. We formulate linear programming (LP) problems and solve them by the simplex method (algorithm). We also look at the geometrical aspect and develop the mathematical theory of the simplex method. We further study problems which may be formulated using graphs and networks. These optimization problems can be solved by using linear or integer programming approaches. However, due to its graphical structure, it is easier to handle these problems by using network algorithmic approaches. Applications of LP and network optimization will be demonstrated. This course should help the student in developing confidence in solving many similar problems in daily life that require much computing. Major topics: Introduction to LP: solving 2-variable LP via graphical methods. Geometry of LP: polyhedron, extreme points, existence of optimal solution at extreme point. Development of simplex method: basic solution, reduced costs and optimality condition, iterative steps in a simplex method, 2-phase method and Big-M method. Duality: dual LP, duality theory, dual simplex method. Sensitivity Analysis. Network optimization problems: minimal spanning tree problems, shortest path problems, maximal flow problems, minimum cost flow problems, salesman problems and postman problems.","{'or': ['MA1101R:D', 'MA1311:D', 'MA2001:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D']}"
NUS,Data Science and Analytics,MA3227,Numerical Analysis II,"This course is a continuation of MA2213 Numerical Analysis I. It introduces and analyzes important numerical methods for solving linear and nonlinear systems, two-point boundary value problems, as well as Monte Carlo methods and their applications in such fields as quantitative finance and physics. The course aims at developing students’ problem-solving skills in emerging applications of modern scientific computing, and is intended for mathematics and quantitative finance majors and students from engineering, computer science and physical sciences. Major topics: Iterative methods for systems of linear equations and their convergence analysis, numerical solutions of systems of nonlinear equations, methods for solving two-point boundary value problems, Monte Carlo methods and their applications.","{'and': [{'or': ['MA2213:D', 'DSA2102:D']}, {'or': ['MA1104:D', 'MA2104:D', 'MA1505:D', 'MA1506:D', 'MA1507:D', 'MA1511:D', 'MA2311:D']}, {'or': ['MA2116:D', 'MA2216:D', 'ST2131:D', 'ST2334:D']}]}"
NUS,Data Science and Analytics,ST3236,Stochastic Processes I,"This course introduces the concept of modelling dependence and focuses on discrete-time Markov chains. Topics include discrete-time Markov chains, examples of discrete-time Markov chains, classification of states, irreducibility, periodicity, first passage times, recurrence and transience, convergence theorems and stationary distributions. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'and': [{'or': ['MA1101R:D', 'MA1508E:D', 'MA2001:D', 'MA1522:D']}, {'or': ['ST2131:D', 'ST2334:D', 'MA2116:D', 'MA2216:D']}]}"
NUS,Data Science and Analytics,MA4230,Matrix Computation,"This course provides essential ideas and techniques as well as algorithms in numerical linear algebra that are needed in scientific computing and data analytics for effectively working with vectors and matrices. The major difficulties faced in solving problems in linear algebra numerically are discussed, as well as the associated applications often seen in practice. The emphasis is on the development of elegant and powerful algorithms and their applications for solving practical problems. Major topics include basic vector and matrix manipulation, the singular value decomposition, QR factorization, least squares problems, conditioning and stability, eigenvalue problems, and various applications in scientific computing and data science.","{'and': [{'or': ['MA2101:D', 'MA2101S:D']}, {'or': ['MA2213:D', 'DSA2102:D']}]}"
NUS,Data Science and Analytics,ST4238,Stochastic Processes II,"This course builds on ST3236 and introduces an array of stochastic models with biomedical and other real world applications. Topics include Poisson process, compound Poisson process, marked Poisson process, point process, epidemic models, continuous time Markov chain, birth and death processes, martingale. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['MA3238:D', 'ST3236:D']}"
NUS,Data Science and Analytics,MA4260,Stochastic Operations Research,"This is a stochastic operations research course and has many applications in production planning, warehousing and logistics. This course gives an introduction on how operations research models (with emphasis on optimization models) are formulated and solved. Many inventory and queuing models are derived to cater for different situations and problems in the real world. The solutions of these models can be obtained analytically. The tools of dynamic programming, heuristics and simulation are also introduced to derive the solutions. Major topics: The basic economic order quantity model and its extension. Dynamic lot sizing models. Inventory models with uncertain demands: single-period decision models, continuous review and periodic review policies. Recent developments in inventory theory. Modelling arrival and service processes. Basic queuing models. Cost considerations in queuing models. Queuing network. Simulation of inventory and queuing models.","{'and': [{'or': ['MA2116:D', 'MA2216:D', 'ST2131:D', 'ST2334:D']}, {'or': ['MA3236:D', 'MA3252:D', 'DSC3214:D', 'DSN3701:D', 'DSA3102:D']}]}"
NUS,Data Science and Analytics,MA4268,Mathematics for Visual Data Processing,"This multi-disciplinary course focuses on various important mathematical methods addressing problems arising in imaging and vision. Topics covered include: Continuous and discrete Fourier transform, Gabor transform, Wiener filter, variational principle, level set method, applied differential geometry, linear and nonlinear least squares, regularisation methods.","{'or': ['MA2213:D', 'DSA2102:D']}"
NUS,Data Science and Analytics,MA4270,Data Modelling and Computation,"This course aims at presenting important mathematical concepts and computational methods that are often used for modelling and analysis of big data sets and complex networks. The emphasis is on mathematical modelling and computational methods for practical problems in data science. Major topics include: basics on convex analysis, numerical methods for large-scale convex problems, dimensionality reduction, numerical methods for machine learning, kernel methods for pattern analysis, sparse coding and dictionary learning.","{'and': [{'or': ['MA2213:D', 'DSA2102:D']}, {'or': ['MA2216:D', 'ST2131:D', 'ST2334:D']}]}"
NUS,Data Science and Analytics,ST3232,Design & Analysis of Experiments,"This course covers common designs of experiments and their analysis. Topics include basic experimental designs, analysis of one-way and two way layout data, multiple comparisons, factorial designs, 2k-factorial designs, blocking and confounding, fractional factorial design and nested designs. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Data Science and Analytics,ST3239,Survey Methodology,"This course gives an introduction to the design of sample surveys and estimation procedures, with emphasis on practical applications in survey sampling. Topics include planning of surveys, questionnaire construction, methods of data collection, fieldwork procedures, sources of errors, basic ideas of sampling, simple random sampling, stratified, systematic, replicated, cluster and quota sampling, sample size determination and cost. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Data Science and Analytics,ST3247,Simulation,"The advent of fast and inexpensive computational power has facilitated the description of real phenomenon using realistic stochastic models which can be analysed using simulation studies. This course teaches students how to analyse a model by use of a simulation study and the topics include: pseudorandom number generation, generating discrete and continuous random variables, simulating discrete events, statistical analysis of simulated data, variance reduction, Markov Chain Monte Carlo methods. It also covers topics in stochastic optimisation such as simulated annealing. This course is targeted at students who are interested in Statistics and are able to meet the prerequisites.","{'and': [{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}, {'or': ['CS1010:D', 'CS1010E:D', 'CS1010S:D', 'CS1010FC:D', 'IT1006:D']}]}"
NUS,Data Science and Analytics,ST3248,Statistical Learning I,"Statistical learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two courses covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part I gives a broad overview of the common problems as well as their most popular approaches. Topics include linear regression model and its extensions, classification methods, resampling methods, regularisation and model selection, principal components and clustering methods.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Data Science and Analytics,ST4231,Computer Intensive Statistical Methods,"The availability of high-speed computation has led to the development of “modern” statistical methods which are implemented in the form of well-understood computer algorithms. This course introduces students to several computer intensive statistical methods and the topics include: empirical distribution and plug-in principle, general algorithm of bootstrap method, bootstrap estimates of standard deviation and bias, jack-knife method, bootstrap confidence intervals, the empirical likelihood for the mean and parameters defined by simple estimating function, Wilks theorem, and EL confidence intervals, missing data, EM algorithm, Markov Chain Monte Carlo methods. This course is targeted at students who are interested in Statistics and are able to meet the prerequisite.",ST2132:D
NUS,Data Science and Analytics,ST4234,Bayesian Statistics,"Bayesian principles: Bayes' theorem, estimation, hypothesis testing, prior distributions, likelihood, predictive distributions. Bayesian computation: numerical approximation, posterior simulation and integration, Markov chain simulation, models and applications: hierarchical linear models, generalized linear models, multivariate models, mixture models, models for missing data, case studies. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.",ST2132:D
NUS,Data Science and Analytics,ST4248,Statistical Learning II,"Statistical Learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two modules covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part II builds on the knowledge in Part I, introducing more tools as well as generalising and extending some of the tools covered in Part I using entirely different approaches. Topics include non-parametric smoothing methods, tree-based methods, support vector machines, neural networks and ensemble learning.","{'nOf': [2, ['ST3131:D', 'ST3248:D']]}"
NUS,Data Science and Analytics,ST4250,Multivariate Statistical Analysis,"This course focuses on the classical theory and methods of multivariate statistical analysis. Topics include distribution theory: multivariate normal distribution, Hotelling's T2 and Wishart distributions, inference on the mean and covariance, principal components and canonical correlation, factor analysis, discrimination and classification. This course is targeted at students who are interested in Statistics, are able to meet the pre-requisites and are matriculated in or after 2002.",ST3131:D
NUS,Data Science and Analytics,ST4253,Applied Time Series Analysis,"This course introduces the modelling and analysis of time series data. A computer package will be used to analyse real data sets. Topics include stationary time series, ARIMA models, estimation and forecasting with ARIMA models This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Business Analytics,BT4101,B.Sc. (Business Analytics) Dissertation,"The objective of this course is to enable students to work on an individual business analytics research project spanning two semesters, with approximately 400 hours of work. Students learn how to apply concepts and skills acquired from all prior courses taken and also to think of innovative ways of solving business analytics problems, and learn to work in a research and real-world business analytics environment. The project seeks to demonstrate the student’s work ethic, initiative, determination, and ability to think independently. On completion of the project, the student has to submit a dissertation which describes the project work and summarizes the findings, as well as to give an oral presentation before a panel of examiners.",
NUS,Business Analytics,IS4010,Industry Internship Programme,"This course enables students to apply the computing knowledge and skills that they have acquired in class to industry internships in companies/organizations. Students in industry internships will be jointly guided by supervisors from both the companies/organizations and the school Their progress on internship projects will be monitored during internship period, and their performance will be assessed through letter grades at the end of the internship. The internship duration will be 6 months, consisting of both a full-time and part-time component. Full-time internship attachment will last for 3 months during the NUS vacation period, and will continue on a part-time basis","{'and': ['IS3103:D', {'or': ['IS2101:D', 'CS2101:D', 'ES2002:D', 'ES1601:D', 'UWC2101%:D']}, {'or': ['IS3106:D', 'CS2107:D', 'BT3103:D']}]}"
NUS,Business Analytics,ETP3203L,Innovation & Enterprise Internship Practicum,"This course measures the student’s effort in pursuing his/her entrepreneurial aspirations and in further developing his/her potential beyond their internship given the NOC opportunity. Taken together with TR3202 / ETP3201 Start-up Internship Programme, the student will be assessed on his/her internship by regular reviews and presentations to companies and consulting professor. He/she will also need to prepare a business pitch at the end of the internship.",
NUS,Business Analytics,CS1010A,Programming Methodology,"This course introduces the fundamental concepts of problem solving by computing and programming. It is the first and foremost introductory course to computing and is equivalent to CS1010, CS1010S, and CS1010E Programming Methodology. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This course is designed for students in a degree programme oriented toward analytics.",
NUS,Business Analytics,BT1101,Introduction to Business Analytics,"This course provides students with an introduction to the fundamental concepts and tools needed to understand the emerging role of business analytics and data science applications in business and non-profit organisations. Students will learn how to apply basic business analytics and data science/analytics tools (such as R) to large real-life datasets in different contexts, and how to effectively use and interpret analytic models and results for making better and more well-informed business decisions. This course will provide both the organisational and technical aspects of business analytics and serves to provide students with a broad overview of how and why business analytics can be implemented in organisations, the various approaches and techniques that could be adopted for different organisational objectives and issues.",
NUS,Business Analytics,IS1108,Digital Ethics and Data Privacy,"Course is designed to introduce students to the issues of digital ethics and data privacy faced by individuals and organizations. It covers the ethical principles governing the behaviors and beliefs about how we use technology, and how we collect and process personal information in a manner that aligns with individual and organizational expectations for security and confidentiality. It will address challenges in balancing technological desirability with social desirability while developing digital products and services, including Professional Ethics, Computing for Social Good, Digital Ethics by Design, Digital Intellectual Property Rights, Automation and Autonomous Systems, and Artificial Intelligence Ethics and Governance.",
NUS,Business Analytics,MA1311,Matrix Algebra,"This course introduces the basic concepts in matrix algebra which has applications in science, engineering, statistics, economics and operations research. The main objective is to equip students with the basic skills in computing with real vectors and matrices. Specially designed for students not majoring in mathematics, in particular those who read a minor in mathematics, it is also suitable for students who are keen to pick up mathematical skills that will be useful in their own areas of studies. Major topics: Gaussian elimination, solutions to simultaneous equations, matrices, vectors, special matrices, matrix inverses, linear independence, rank, determinants, vectors in geometry, and cross product, introduction to eigenvalues and eigenvectors.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Business Analytics,MA1522,Linear Algebra for Computing,"This module is targeted at students from School of Computing. It introduces basic concepts in linear algebra that are routinely applied in computer science, in the context of the Euclidean spaces, and will develop basic skills in computing with vectors and matrices with and without using computational software (MATLAB). Students are expected to acquire computational facilities and geometric intuition about vectors and matrices. Major topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.","{'or': ['MA1301:D', 'MA1301X:D']}"
NUS,Business Analytics,MA1521,Calculus for Computing,"This module provides a basic foundation for calculus and its related subjects required by computing students. The objective is to train the students to be able to handle calculus techniques arising in their courses of specialization. In addition to the standard calculus material, the course also covers simple mathematical modeling techniques and numerical methods in connection with ordinary differential equations. Major topics Preliminaries on sets and number systems. Calculus of functions of one variable and applications. Sequences, series and power series. Functions of several variables. Extrema. First and second order differential equations. Basic numerical methods for ordinary differential equations.","{'or': ['MA1301:D', 'MA1301X:D']}"
NUS,Business Analytics,BT2101,Econometrics Modeling for Business Analytics,"This course provides the foundations to econometrics and the use of software tools to perform econometrics data analysis. The course cover analysis models, including regression, time series regression, dynamic causal effects among others. Examples will also be drawn from various industry domains and applications.","{'and': [{'or': ['MA1521:D', 'MA1102R:D', 'MA2002:D', 'MA1505:D']}, {'or': ['BT1101:D', 'EC2303:D', 'ST1131:D', 'DSA1101:D', 'DSE1101:D']}]}"
NUS,Business Analytics,BT2102,Data Management and Visualisation,"This course aims to provide students with practical knowledge and understanding of basic issues and techniques in data management and warehousing with relational database management systems, as well as data visualisation principles, techniques and tools. The course covers data management concepts, conceptual and logical design, database management, data warehousing concepts, data warehousing design, relational database management systems and tools, data visualisation and dashboard design concepts, visual perception and design principles, visualisation techniques and tools for temporal and spatial data, proportions and relationships, multivariate and complex data, etc.","{'and': [{'or': ['EC2303:D', 'BT1101:D', 'ST1131:D', 'DSA1101:D', 'DSE1101:D']}, {'or': ['CS1010:D', 'CS1010X:D', 'CS1010E:D', 'CS1010J:D', 'CS1101S:D', 'CS1010S:D']}]}"
NUS,Business Analytics,CS2030,Programming Methodology II,"This course is a follow up to CS1010. It explores two modern programming paradigms, object-oriented programming and functional programming. Through a series of integrated assignments, students will learn to develop medium-scale software programs in the order of thousands of lines of code and tens of classes using object oriented design principles and advanced programming constructs available in the two paradigms. Topics include objects and classes, composition, association, inheritance, interface, polymorphism, abstract classes, dynamic binding, lambda expression, effect-free programming, first class functions, closures, continuations, monad, etc.","{'or': ['CS1010:D', 'CS1010E:D', 'CS1010X:D', 'CS1101S:D', 'CS1010S:D', 'CS1010J:D']}"
NUS,Business Analytics,CS2040,Data Structures and Algorithms,"This course introduces students to the design and implementation of fundamental data structures and algorithms. The course covers basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms.","{'or': ['CS1010:D', 'CS1010E:D', 'CS1010X:D', 'CS1101S:D', 'CS1010S:D', 'CS1010J:D']}"
NUS,Business Analytics,IS2101,Business and Technical Communication,"IS2101 (Business and Technical Communication) a customized core course for the School of Computing, aims to give its students a professional edge in the competitive and interconnected job market by preparing and enhancing their professional communication skills in IT related work settings. This is a 48-hour course taught over 12 weeks with a three-hour tutorial and a one-hour online lecture + related activities per week.",
NUS,Business Analytics,ST2334,Probability and Statistics,"This course introduces students to basic probability theory and statistical inference. Topics include basic concepts of probability, conditional probability, independence, random variables, joint and marginal distributions, mean and variance, some common probability distributions, sampling distributions, estimation and hypothesis testing based on a normal population.","{'or': ['MA1102R:D', 'MA1312:D', 'MA1505:D', 'MA1507:D', 'MA1511:D', 'MA1521:D', 'MA2002:D']}"
NUS,Business Analytics,BT3103,Application Systems Development for Business Analytics,"This course aims to train students to be conversant in the technologies, approaches, principles and issues in designing IT applications systems for business analytics. Major topics include: rapid web frameworks, scripting languages, database design, web and mobile interfaces, tracking and analysis of customers, payment services / verification, implementing security, designing and deploying web and mobile services, and operational considerations and technical tradeoffs.","{'or': ['BT2102:D', 'IS1112FC:D', 'IS1112:D', 'IS1112X:D']}"
